Google ID,Name,Full address,Is closed,Description 1,Main type,All types,Website,Website (root url),Phone,Phone international,Borough,Street,City,Postal code,State,Country,Country code,Longitude,Latitude,Link,First seen on,Reviews count,Reviews rating,Reviews per score,Photos count,Photo 1,Photo 2,All photos
0x8c036f39c8756047:0x38f4d248a30bcf3d,Condal Tapas Restaurant & Rooftop Lounge,"Condal Tapas Restaurant & Rooftop Lounge, 1104 Magdalena Ave, San Juan, 00908, Puerto Rico",No,,Tapas restaurant,"Carvery,Cocktail bar,Seafood restaurant,Spanish restaurant,Steak house,Tapas restaurant,Wine bar",,,+1 787-725-0023,17877250023,Santurce,1104 Magdalena Ave,San Juan,908,San Juan,Puerto Rico,PR,-66.0741174,18.4563899,"https://www.google.com/maps/preview/place/Condal+Tapas+Restaurant+%26+Rooftop+Lounge,+1104+Magdalena+Ave,+San+Juan,+00908,+Puerto+Rico/@18.4563899,-66.0741174,3785a,13.1y/data=!4m2!3m1!1s0x8c036f39c8756047:0x38f4d248a30bcf3d",8/28/2021,702,4.1,"{""1"":97.0,""2"":23.0,""3"":50.0,""4"":92.0,""5"":440.0}",708,https://lh5.googleusercontent.com/p/AF1QipNhdV6MvYEFjUK9LPC5XHVHFkzwphs33uWkvlgD,,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipNhdV6MvYEFjUK9LPC5XHVHFkzwphs33uWkvlgD""]"
0x8c036907dfb8e9ed:0x2253fd26aef74f75,Ikebana Sushi Bar - Guaynabo,"Ikebana Sushi Bar - Guaynabo, 3 Av. San Patricio, Guaynabo, 00968, Puerto Rico",No,"Founded in 2002, Ikebana Creative Sushi Sake Lounge offers more than your typical Japanese sushi experience. Located in San Patricio Mall, Guaynabo, it’s no surprise that we have been selected as the Best Sushi Bar Restaurant in Puerto Rico for six consecutive years (2011-2016) by the esteemed Sal! Awards, as well as received the 2017 TripAdvisor Certificate of Excellence.

Our ongoing goal is to exceed your expectations across all our menu choices. Our warm, knowledgeable, and professional staff will greet you and provide genuine hospitality as they help guide your dining experience.

We take pride in using seasonal ingredients and seafood to create delicious dishes deeply rooted in Japanese cuisine yet adding our unique Caribbean twist.",Sushi restaurant,"Asian restaurant,Cocktail bar,Japanese restaurant,Seafood restaurant,Sushi restaurant,Wine bar",https://www.ikebanasushibars.com,https://www.ikebanasushibars.com,+1 787-782-6901,17877826901,"Pueblo Viejo, Guaynabo, Puerto Rico",3 Av. San Patricio,Guaynabo,968,Guaynabo,Puerto Rico,PR,-66.1048794,18.4071762,"https://www.google.com/maps/preview/place/Ikebana+Sushi+Bar+-+Guaynabo,+3+Av.+San+Patricio,+Guaynabo,+00968,+Puerto+Rico/@18.4071762,-66.1048794,3786a,13.1y/data=!4m2!3m1!1s0x8c036907dfb8e9ed:0x2253fd26aef74f75",8/28/2021,722,4.3,"{""1"":44.0,""2"":33.0,""3"":56.0,""4"":147.0,""5"":442.0}",623,https://lh5.googleusercontent.com/p/AF1QipMSf_LLolzZbd6wvKyLKmDAZ_idGAZwmR4ptpma,https://lh5.googleusercontent.com/p/AF1QipPBQnVPOltbjjZKcimtTGPa3DnJI-g6DiJDE5w8,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMSf_LLolzZbd6wvKyLKmDAZ_idGAZwmR4ptpma"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPBQnVPOltbjjZKcimtTGPa3DnJI-g6DiJDE5w8""]"
0x8c0368bde16d9891:0xe6073063cfc2b2f0,West Marine,"West Marine, 135 Av. Arterial B, San Juan, 00918, Puerto Rico",No,"West Marine San Juan is our flagship marine supply store equipping Puerto Rico with fishing equipment, boating supplies, and kayaking gear. From sheltered San Juan Bay to the Caribbean and greater Atlantic Ocean, Puerto Rico is surrounded by stunning destinations and pleasant waters. Deep-sea fish at Fajardo, cruise over to Culebra and Vieques Islands, or paddle through coastal mangrove forests. Our boat shop is well-stocked with watersport essentials, like audio systems, boat parts, SUP paddles, sail rigging, and fishing rods. For dependable service and local expertise, visit our store.",Marine supply store,"Bait shop,Boat accessories supplier,Boat cover supplier,Fishing store,Marine supply store,Outdoor clothing and equipment shop,Outdoor sports store,Store,Water ski shop",https://www.westmarine.com/stores/san-juan-pr-1325,https://www.westmarine.com,+1 787-998-1891,17879981891,Hato Rey Norte,135 Av. Arterial B,San Juan,918,San Juan,Puerto Rico,PR,-66.0626273,18.4293828,"https://www.google.com/maps/preview/place/West+Marine,+135+Av.+Arterial+B,+San+Juan,+00918,+Puerto+Rico/@18.4293828,-66.0626273,3785a,13.1y/data=!4m2!3m1!1s0x8c0368bde16d9891:0xe6073063cfc2b2f0",8/29/2021,1227,4.5,"{""1"":39.0,""2"":18.0,""3"":71.0,""4"":249.0,""5"":850.0}",569,https://lh5.googleusercontent.com/p/AF1QipMt6iFX2LfOXWVukvgfjc2G_n4RcS-Lpa1BZS_6,https://lh5.googleusercontent.com/p/AF1QipN8pvE5f8hjPQmmyJuPvUJEySN7bIdcO3DXC8bB,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMt6iFX2LfOXWVukvgfjc2G_n4RcS-Lpa1BZS_6"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipN8pvE5f8hjPQmmyJuPvUJEySN7bIdcO3DXC8bB""]"
0x8c036f4b02b04b33:0x3f28e22ea99fd501,Lote 23,"Lote 23, 1552 PR-25, San Juan, 00909, Puerto Rico",No,Vibrant hub of food & drink kiosks,Food court,"Coffee store,Food court,Fried chicken takeaway,Hamburger restaurant,Ice cream shop,Mexican restaurant,Pizza restaurant,Raw food restaurant,Restaurant,Venezuelan restaurant",http://www.lote23.com,http://www.lote23.com,,,Santurce,1552 PR-25,San Juan,909,San Juan,Puerto Rico,PR,-66.0671411,18.4450632,"https://www.google.com/maps/preview/place/Lote+23,+1552+PR-25,+San+Juan,+00909,+Puerto+Rico/@18.4450632,-66.0671411,3785a,13.1y/data=!4m2!3m1!1s0x8c036f4b02b04b33:0x3f28e22ea99fd501",8/29/2021,3959,4.6,"{""1"":54.0,""2"":53.0,""3"":283.0,""4"":806.0,""5"":2763.0}",3052,https://lh5.googleusercontent.com/p/AF1QipODt-fJPr5Vl9W_Ct1hq41QNI_5wfQHhR0JNamW,https://lh5.googleusercontent.com/p/AF1QipMFm9airkTtm1s-6l8Xbj6C8PqavyblbtA0QG-y,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipODt-fJPr5Vl9W_Ct1hq41QNI_5wfQHhR0JNamW"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMFm9airkTtm1s-6l8Xbj6C8PqavyblbtA0QG-y""]"
0x8c1d3576cdda6463:0x58b291b421e976ef,Lechonera Los Biónicos,"Lechonera Los Biónicos, PR-102, San Germán, 00683, Puerto Rico",No,,Puerto Rican restaurant,Puerto Rican restaurant,http://lechoneraspr.com/san-german/los-bionicos.html,http://lechoneraspr.com,+1 787-543-3319,17875433319,,PR-102,San Germán,683,San Germán,Puerto Rico,PR,-66.9830146,18.0771634,"https://www.google.com/maps/preview/place/Lechonera+Los+Bi%C3%B3nicos,+PR-102,+San+Germ%C3%A1n,+00683,+Puerto+Rico/@18.0771634,-66.9830146,3793a,13.1y/data=!4m2!3m1!1s0x8c1d3576cdda6463:0x58b291b421e976ef",8/29/2021,127,4.2,"{""1"":10.0,""2"":0.0,""3"":15.0,""4"":27.0,""5"":75.0}",24,https://lh5.googleusercontent.com/p/AF1QipN8qc96Rap-ic2ieuBVpaYOEO7BRb3CPj0omIHI,https://lh5.googleusercontent.com/p/AF1QipPNMbg23TvvTz8yDNnO4eERRrmo_VbxWZ3fSgZh,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipN8qc96Rap-ic2ieuBVpaYOEO7BRb3CPj0omIHI"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPNMbg23TvvTz8yDNnO4eERRrmo_VbxWZ3fSgZh""]"
0x8c0367d2cac78c91:0x287e50216b27c418,CAFE ISTANBUL,"CAFE ISTANBUL, COND. LAS MERCEDES, 424 AVE. 65 INFANTERIA, Av. 65 de Infantería STE C3, San Juan, 00926, Puerto Rico",No,,Turkish restaurant,Turkish restaurant,https://m.facebook.com/profile.php?id=119454848088394&refsrc=https%3A%2F%2Fes-la.facebook.com%2Fpages%2FCAFE-ISTANBUL-PR%2F119454848088394,https://m.facebook.com,+1 787-767-6700,17877676700,"Sabana Llana Sur, San Juan, Puerto Rico","COND. LAS MERCEDES, 424 AVE. 65 INFANTERIA, Av. 65 de Infantería STE C3",San Juan,926,San Juan,Puerto Rico,PR,-66.036,18.39431,"https://www.google.com/maps/preview/place/CAFE+ISTANBUL,+COND.+LAS+MERCEDES,+424+AVE.+65+INFANTERIA,+Av.+65+de+Infanter%C3%ADa+STE+C3,+San+Juan,+00926,+Puerto+Rico/@18.39431,-66.036,3786a,13.1y/data=!4m2!3m1!1s0x8c0367d2cac78c91:0x287e50216b27c418",8/29/2021,1055,4.6,"{""1"":31.0,""2"":9.0,""3"":37.0,""4"":149.0,""5"":829.0}",764,https://lh5.googleusercontent.com/p/AF1QipOi940zZ0CXoUSRGvZB_C5Gn4V8UUqPApjN3MxT,https://lh5.googleusercontent.com/p/AF1QipP26aGktnufxmOCQ9MbgS9ScZiLIxgKr6Nksmg-,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipOi940zZ0CXoUSRGvZB_C5Gn4V8UUqPApjN3MxT"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipP26aGktnufxmOCQ9MbgS9ScZiLIxgKr6Nksmg-""]"
0x8c031ffeff69226b:0xb536d3f7ee787076,Abar Sport Bar,"Abar Sport Bar, Carr 140 Km 67.5 Bo, Residencia Las Llanadas, Barceloneta, 00617, Puerto Rico",No,"Agencia Hípica y Sport Bar. Ambiente agradable, con seguridad, aire acondicionado y el mejor equipo de trabajo, él cual te hará sentir en familia.",Sports bar,"Bar,Sports bar",,,+1 787-663-1018,17876631018,,"Carr 140 Km 67.5 Bo, Residencia Las Llanadas",Barceloneta,617,Barceloneta,Puerto Rico,PR,-66.5471991,18.4460867,"https://www.google.com/maps/preview/place/Abar+Sport+Bar,+Carr+140+Km+67.5+Bo,+Residencia+Las+Llanadas,+Barceloneta,+00617,+Puerto+Rico/@18.4460867,-66.5471991,3785a,13.1y/data=!4m2!3m1!1s0x8c031ffeff69226b:0xb536d3f7ee787076",8/29/2021,1,5,"{""1"":0.0,""2"":0.0,""3"":0.0,""4"":0.0,""5"":1.0}",11,https://lh5.googleusercontent.com/p/AF1QipMWwF9FlqwhGhEEMYHsSJ7v7aVqauBKuAmyqTrt,https://lh5.googleusercontent.com/p/AF1QipPKKoHe06W38vGoM4k-I5V_eWY8fqDu_Komnr_D,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMWwF9FlqwhGhEEMYHsSJ7v7aVqauBKuAmyqTrt"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPKKoHe06W38vGoM4k-I5V_eWY8fqDu_Komnr_D""]"
0x8c036f257de4dd05:0x17ded4d9e890237d,Pizza e Birra,"Pizza e Birra, 653 PR-25, San Juan, 00907, Puerto Rico",No,,Pizza restaurant,"Bar,Cocktail bar,Family restaurant,Italian restaurant,Lunch restaurant,Pizza restaurant,Restaurant,Wine bar",https://www.facebook.com/PizzaEBirraMiramar,https://www.facebook.com,+1 787-729-8866,17877298866,Miramar,653 PR-25,San Juan,907,San Juan,Puerto Rico,PR,-66.0846239,18.4565108,"https://www.google.com/maps/preview/place/Pizza+e+Birra,+653+PR-25,+San+Juan,+00907,+Puerto+Rico/@18.4565108,-66.0846239,3785a,13.1y/data=!4m2!3m1!1s0x8c036f257de4dd05:0x17ded4d9e890237d",8/29/2021,1117,4.3,"{""1"":56.0,""2"":31.0,""3"":109.0,""4"":244.0,""5"":677.0}",493,https://lh5.googleusercontent.com/p/AF1QipOYfbVouUw4suEmbfCCkpKpZMtYYgmCS06AQxZf,https://lh5.googleusercontent.com/p/AF1QipO0d1T776-JKktvO5fCGGd0tXc6zC9LdXpbLx7E,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipOYfbVouUw4suEmbfCCkpKpZMtYYgmCS06AQxZf"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipO0d1T776-JKktvO5fCGGd0tXc6zC9LdXpbLx7E""]"
0x8c03432517f4d375:0x9f6ddfe7ddd8b2f5,El Cantinflas Tacos Place,"El Cantinflas Tacos Place, Carr # 1 km 27.0, Caguas, 00725, Puerto Rico",No,Los mejores tacos de PR!,Mexican restaurant,Mexican restaurant,,,+1 787-600-7475,17876007475,,Carr # 1 km 27.0,Caguas,725,Caguas,Puerto Rico,PR,-66.0603244,18.2990487,"https://www.google.com/maps/preview/place/El+Cantinflas+Tacos+Place,+Carr+%23+1+km+27.0,+Caguas,+00725,+Puerto+Rico/@18.2990487,-66.0603244,3788a,13.1y/data=!4m2!3m1!1s0x8c03432517f4d375:0x9f6ddfe7ddd8b2f5",8/29/2021,6011,4.4,"{""1"":171.0,""2"":151.0,""3"":539.0,""4"":1217.0,""5"":3933.0}",704,https://lh5.googleusercontent.com/p/AF1QipPeyMa25Kgddw5-xhZULDpJld2twCBZo4Psx2Mq,https://lh5.googleusercontent.com/p/AF1QipP3MSskxW4ot6LVgaMkETCz2N0ss8TZtNVbdYjf,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPeyMa25Kgddw5-xhZULDpJld2twCBZo4Psx2Mq"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipP3MSskxW4ot6LVgaMkETCz2N0ss8TZtNVbdYjf""]"
0x8c02e87075baa4b9:0xf5fe8c7beca34722,Hatillo Kash N' Karry,"Hatillo Kash N' Karry, Marginal Calle Comercio, Hatillo, 00659, Puerto Rico",No,,Supermarket,Supermarket,http://www.hatillokashnkarry.com,http://www.hatillokashnkarry.com,+1 787-898-5840,17878985840,,Marginal Calle Comercio,Hatillo,659,Hatillo,Puerto Rico,PR,-66.818353,18.485629,"https://www.google.com/maps/preview/place/Hatillo+Kash+N'+Karry,+Marginal+Calle+Comercio,+Hatillo,+00659,+Puerto+Rico/@18.485629,-66.818353,3784a,13.1y/data=!4m2!3m1!1s0x8c02e87075baa4b9:0xf5fe8c7beca34722",8/30/2021,1553,4.5,"{""1"":37.0,""2"":26.0,""3"":95.0,""4"":349.0,""5"":1046.0}",141,https://lh5.googleusercontent.com/p/AF1QipPNulWDjoUg0l4ZqUg5NKscw1iYKmgyK7hnZwiV,https://lh5.googleusercontent.com/p/AF1QipNhELPiI7iPvdpGJqRRUh1U1O3s4epo35au0Y2T,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPNulWDjoUg0l4ZqUg5NKscw1iYKmgyK7hnZwiV"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipNhELPiI7iPvdpGJqRRUh1U1O3s4epo35au0Y2T""]"
